comparison_group,pattern_kind,diameter_mm,pitch_mm,pupil_diameter_mm,myopia_d,wavelength_nm,ring_count,ghost_index,ghost_x_arcmin,ghost_y_arcmin,ghost_radius_arcmin,ghost_azimuth_deg,multiplicity,total_weight,measured_peak,peak_ratio,above_visibility_threshold
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,15,-687.549354156988,-343.774677078494,768.7035468905514,206.565051177078,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,16,687.549354156988,-343.774677078494,768.7035468905514,333.434948822922,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,17,-687.549354156988,343.774677078494,768.7035468905514,153.434948822922,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,18,687.549354156988,343.774677078494,768.7035468905514,26.56505117707799,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,19,-343.774677078494,687.549354156988,768.7035468905514,116.56505117707799,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,20,343.774677078494,687.549354156988,768.7035468905514,63.43494882292201,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,21,-687.549354156988,-687.549354156988,972.3416214496748,225.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,22,687.549354156988,-687.549354156988,972.3416214496748,315.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,23,-687.549354156988,687.549354156988,972.3416214496748,135.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,24,687.549354156988,687.549354156988,972.3416214496748,45.0,1,0.0,0.0,0.0,False
pupil_study_C,square_packing,0.7,2.0,2.0,3.0,550.0,0,1,0.0,-275.0197416627952,275.0197416627952,270.0,1,0.0,0.0,0.0,False
pupil_study_C,square_packing,0.7,2.0,2.0,3.0,550.0,0,2,-275.0197416627952,0.0,275.0197416627952,180.0,1,0.0,0.0,0.0,False
